place_id,nombre,rating,reseñas,price_level,lat,lon,address,types,nearest_node,betweenness_vial,tipo_via,distancia_via,peso_tipo_via,IIV,dist_norm,bet_norm,peso_norm
ChIJmxYI19WbP44R6Z0thCd0G14,Texaco service station - Montallantas,4.1,348,,4.628820999999999,-74.0826558,"Av. El Dorado #32-61, Bogotá","gas_station,point_of_interest,establishment",5169559130,0.008185721953837896,primary,30.138795462629524,3,0.25029659613333577,0.03211428011722951,0.1248362802881467,0.6666666666666666
ChIJh0323FiaP44RzntumIigDGU,Combuscol Texaco Heroes,4.2,1007,,4.6644574,-74.0607411,"Ak. 20 #76-14, Bogotá","gas_station,point_of_interest,establishment",12483781972,0.01343263553408481,primary,3.946817466434469,3,0.34231635550009304,0.20215017165789476,0.20485428945645057,0.6666666666666666
ChIJR_DceFSaP44RQ5Ia_a0GUeE,Terpel Juan Martin,4.0,324,,4.6617058,-74.0734549,"Cl. 68 #28A-23, Barrios Unidos, Bogotá","gas_station,point_of_interest,establishment",312657097,0.0032098765432098768,tertiary,7.190914152612917,1,0.06352025616601649,0.12208649503193708,0.04895219384413884,0.0
ChIJE5u_53CDP44ROT0SWy0EizA,Terpel La Florida,4.3,539,,4.7416471,-74.1379182,"Autopista Medellin #via Km 1,5, Bogota, Bogotá","gas_station,point_of_interest,establishment",512537180,0.0,tertiary,810.9634984577332,1,0.0004926329825906848,0.001231582456476712,0.0,0.0
ChIJoWCbBh-bP44RCQw-jBv_6gg,Estación de Servicio Primax Calle 80,4.2,704,,4.6864963,-74.0815018,"Av Cl 80 #68h-33, Bogotá","gas_station,point_of_interest,establishment",4913802759,0.0,trunk,19.264726234934024,4,0.3197387319898971,0.049346829974742844,0.0,1.0
ChIJ1-r8zUOaP44ReP36GZ_FUZo,Texaco,4.2,665,,4.6518956,-74.05686109999999,"Ak 7 #70-26, Bogotá","gas_station,point_of_interest,establishment",266891797,0.009178743961352657,primary,11.844616391906225,3,0.27313555771457687,0.07785362906050894,0.1399803536345776,0.6666666666666666
ChIJkcdLTDWFP44Rwjot-WBZzI8,Terpel,4.2,848,,4.7063327,-74.05450549999999,"Cra. 45 #125 - 81, Bogotá","gas_station,point_of_interest,establishment",6724331074,0.011825013419216318,trunk,23.76423696406194,4,0.37025350362764875,0.04038081211430855,0.18033726260641783,1.0
ChIJFZ7QfwWFP44RBkueRIsX2MY,EDS Terpel Compostela y GAZEL,4.4,1311,,4.7386713,-74.0654003,"Av. Boyacá #152-50, Suba, Bogotá, Cundinamarca","gas_station,point_of_interest,establishment",321702217,0.014060654857756308,trunk,35.9998150955981,4,0.37514043261716334,0.027027162093006537,0.21443189259986903,1.0
ChIJO2aEli6aP44R8zVyBRKLJTU,Petrobras Service Station,4.2,458,,4.6330918,-74.0700622,"Cl. 45 #16-30, Bogotá","gas_station,point_of_interest,establishment",263776708,0.0015002683843263554,secondary,9.677903673252244,2,0.14432448539179,0.09365134118085025,0.022879829731499674,0.3333333333333333
ChIJ0TP5WQCbP44RN_KCwlOZINY,Primax,4.1,186,,4.6687492,-74.0796251,"Cra. 57 #68-27, Bogotá","gas_station,point_of_interest,establishment",320325932,0.0024745034889962427,tertiary,15.01033059849158,1,0.0363050869297869,0.062459672137826786,0.03773739358218729,0.0
